t, flux
-5.41722, 1.00112
-5.39116, 1.00106
-5.37378, 1.00106
-5.34771, 1.00101
-5.32164, 1.00101
-5.29557, 1.00131
-5.26951, 1.00150
-5.23475, 1.00031
-5.19999, 0.999894
-5.16523, 0.999894
-5.12179, 0.999894
-5.08703, 1.00071
-5.05227, 1.00099
-5.02621, 1.00093
-4.99145, 1.00080
-4.95669, 1.00076
-4.92194, 1.00086
-4.88718, 1.00084
-4.85242, 1.00084
-4.79160, 1.00082
-4.76553, 1.00076
-4.73077, 1.00088
-4.70470, 1.00088
-4.66995, 1.00082
-4.64388, 1.00080
-4.61781, 1.00082
-4.59174, 1.00088
-4.56568, 1.00078
-4.53092, 1.00067
-4.50485, 1.00078
-4.46141, 1.00071
-4.40927, 1.00061
-4.36582, 1.00072
-4.33976, 1.00076
-4.31369, 1.00076
-4.27893, 1.00082
-4.25286, 1.00082
-4.21811, 1.00072
-4.17466, 1.00078
-4.14859, 1.00078
-4.12253, 1.00067
-4.09646, 1.00067
-4.07039, 1.00078
-4.02694, 1.00072
-4.00088, 1.00084
-3.95743, 1.00084
-3.92267, 1.00088
-3.88792, 1.00093
-3.86185, 1.00067
-3.82709, 1.00067
-3.79233, 1.00076
-3.76627, 1.00076
-3.74020, 1.00076
-3.71413, 1.00101
-3.67937, 1.00093
-3.64462, 1.00091
-3.61855, 1.00080
-3.59248, 1.00082
-3.54904, 1.00078
-3.52297, 1.00099
-3.35787, 1.00076
-3.32311, 1.00076
-3.29705, 1.00089
-3.27098, 1.00076
-3.23622, 1.00061
-3.20147, 1.00069
-3.17540, 1.00048
-3.14064, 1.00061
-3.11457, 1.00099
-3.07982, 1.00103
-3.05375, 1.00091
-3.03637, 1.00084
-3.01030, 1.00078
-2.98423, 1.00082
-2.94948, 1.00089
-2.92341, 1.00074
-2.89734, 1.00078
-2.86258, 1.00088
-2.83652, 1.00074
-2.80176, 1.00078
-2.77569, 1.00069
-2.74094, 1.00069
-2.70618, 1.00074
-2.67142, 1.00089
-2.64535, 1.00069
-2.61060, 1.00061
-2.58453, 1.00095
-2.55846, 1.00093
-2.53239, 1.00069
-2.50633, 1.00065
-2.48026, 1.00071
-2.45419, 1.00057
-2.42812, 1.00065
-2.40205, 1.00059
-2.36730, 1.00055
-2.33254, 1.00067
-2.29778, 1.00067
-2.26303, 1.00063
-2.22827, 1.00082
-2.18482, 1.00091
-2.15007, 1.00076
-2.11531, 1.00080
-2.07186, 1.00078
-2.02842, 1.00078
-1.99366, 1.00054
-1.95021, 1.00063
-1.90677, 1.00071
-1.87201, 1.00071
-1.82856, 1.00065
-1.78512, 1.00071
-1.75036, 1.00078
-1.71560, 1.00078
-1.68085, 1.00061
-1.63740, 1.00067
-1.59396, 1.00069
-1.40279, 1.00046
-1.36803, 1.00063
-1.32459, 1.00042
-1.28114, 1.00057
-1.24639, 1.00061
-1.20294, 1.00055
-1.16818, 1.00091
-1.12474, 1.00078
-1.08998, 1.00061
-1.06391, 1.00061
-1.02915, 1.00055
-0.994397, 1.00065
-0.959640, 1.00065
-0.924883, 1.00067
-0.881437, 1.00052
-0.846680, 1.00054
-0.803234, 1.00054
-0.768477, 1.00071
-0.733720, 1.00069
-0.681584, 0.995720
-0.646827, 0.995512
-0.612070, 0.995361
-0.577313, 0.995437
-0.533867, 0.997968
-0.490421, 1.00029
-0.446975, 1.00039
-0.412218, 1.00037
-0.377461, 1.00042
-0.334015, 1.00042
-0.290568, 1.00042
-0.255811, 1.00042
-0.212365, 1.00039
-0.168919, 1.00052
-0.125473, 1.00055
-0.0820265, 1.00055
-0.0385802, 1.00059
0.00486598, 1.00091
0.0483122, 1.00099
0.0830692, 1.00103
0.126515, 1.00103
0.161272, 1.00114
0.196029, 1.00118
0.239476, 1.00114
0.274233, 1.00116
0.317679, 1.00120
0.361125, 1.00120
0.404571, 1.00023
0.448017, 1.00012
0.491464, 0.999988
0.569667, 1.00103
0.613113, 1.00103
0.656559, 1.00088
0.700006, 1.00074
0.743452, 1.00074
