NAME,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,OM,OMUPPER,OMLOWER,UOM,J,JUPPER,JLOWER,UJ,H,HUPPER,HLOWER,UH,Ks,KsUPPER,KsLOWER,UKs,KP,KPUPPER,KPLOWER,UKP,3p6,3p6UPPER,3p6LOWER,U3p6,4p5,4p5UPPER,4p5LOWER,U4p5,5p8,5p8UPPER,5p8LOWER,U5p8,8p0,8p0UPPER,8p0LOWER,U8p0,AR,ARUPPER,ARLOWER,UAR,MP,MPUPPER,MPLOWER,UMP,RP,RPUPPER,RPLOWER,URP,MS,MSUPPER,MSLOWER,UMS,RS,RSUPPER,RSLOWER,URS,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,GRAVITY,GRAVITYUPPER,GRAVITYLOWER,UGRAVITY,FEH,FEHUPPER,FEHLOWER,UFEH,LAMBDA,LAMBDAUPPER,LAMBDALOWER,ULAMBDA,DATE
,au,au,au,au,day,day,day,day,,,,,deg,deg,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,,,,,,,,,deg,deg,deg,deg,
Kepler-17 b,0.0267923,0.000461936,0.000461936,0.000461936,1.4857108,2e-7,2e-7,2e-7,0,0.011,0,0.0055,90,,,,,,,,,,,,,,,,0.0000437,0.0000064,0.0000064,0.0000064,0.0025,0.0003,0.0003,0.0003,0.0031,0.00035,0.00035,0.00035,,,,,,,,,5.49924,0.183513,0.183513,0.183513,2.47943,0.102045,0.102045,0.102045,1.33,0.04,0.04,0.04,1.16,0.06,0.06,0.06,1.05,0.03,0.03,0.03,5781,85,85,85,3.54189,0.0306251,0.0306251,0.0306251,0.26,0.1,0.1,0.1,0,,,,2011
WASP-46 b,0.0244921,0.000408201,0.000408201,0.000408201,1.43037,0.0000023,0.0000023,0.0000023,0,,,,90,,,,0.00129,0.00055,0.00055,0.00055,0.00194,0.00078,0.00078,0.00078,0.00253,0.00063,0.0006,0.000615,,,,,,,,,,,,,,,,,,,,,5.75623,0.200241,0.200241,0.200241,2.10232,0.0879346,0.0879346,0.0879346,1.31,0.051,0.051,0.051,0.956,0.034,0.034,0.034,0.917,0.028,0.028,0.028,5620,160,160,160,3.48436,0.0337129,0.0337129,0.0337129,-0.37,0.13,0.13,0.13,,,,,2012
HAT-P-1 b,0.0553326,0.00125349,0.00125349,0.00125349,4.4652934,0.0000093,0.0000093,0.0000093,0,,,,90,,,,,,,,,,,,0.00109,0.00025,0.00025,0.00025,,,,,0.0008,0.00008,0.00008,0.00008,0.00135,0.00022,0.00022,0.00022,0.00203,0.00031,0.00031,0.00031,0.00238,0.0004,0.0004,0.0004,10.5067,0.504071,0.504071,0.504071,0.532369,0.0303524,0.0303524,0.0303524,1.242,0.053,0.053,0.053,1.133,0.075,0.079,0.077,1.135,0.048,0.048,0.048,5975,120,120,120,2.93453,0.0446603,0.0446603,0.0446603,0.13,0.08,0.08,0.08,3.7,2.1,2.1,2.1,2007
WASP-2 b,0.0312729,0.000521215,0.000521215,0.000521215,2.1522254,0.0000015,0.0000014000000000000001,0.00000145,0,,,,90,,,,,,,,,,,,,,,,,,,,0.00083,0.00035,0.00035,0.00035,0.00169,0.00017,0.00017,0.00017,0.00192,0.00077,0.00077,0.00077,0.00285,0.00059,0.00059,0.00059,8.02363,0.621115,0.621115,0.621115,0.908659,0.0350237,0.0350237,0.0350237,1.077,0.055,0.058,0.0565,0.88,0.02,0.02,0.02,0.84,0.062,0.065,0.0635,5200,200,200,200,3.27394,0.0680682,0.0680682,0.0680682,0.1,0.2,0.2,0.2,-153,15,11,13,2007
HD 80606 b,0.447343,0.0093391,0.0093391,0.0093391,111.4367,0.0004,0.0004,0.0004,0.934,0.003,0.003,0.003,300.6,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.0002,0.0002,0.0002,98.3777,7.32097,7.32097,7.32097,3.89054,0.188083,0.188083,0.188083,1.029,0.017,0.017,0.017,0.958,0.072,0.048,0.06,0.98,0.07,0.07,0.07,5572.51,44,44,44,3.97926,0.0671523,0.0671523,0.0671523,0.342509,0.03,0.03,0.03,42,8,8,8,2001
TrES-3 b,0.0227178,0.000378631,0.000378631,0.000378631,1.30619,0.00001,0.00001,0.00001,0,,,,90,,,,,,,,,,,,0.00133,0.00018,0.00016,0.00017,,,,,0.00346,0.00035,0.00035,0.00035,0.00372,0.00054,0.00054,0.00054,0.00449,0.00097,0.00097,0.00097,0.00475,0.00046,0.00046,0.00046,6.02966,0.176257,0.176257,0.176257,1.91,0.075,0.08,0.0775,1.336,0.031,0.037000000000000005,0.034,0.915,0.031,0.020999999999999998,0.026,0.812,0.014,0.025,0.0195,5650,75,75,75,3.44008,0.0303724,0.0303724,0.0303724,-0.19,0.08,0.08,0.08,,,,,2007
Kepler-6 b,0.0456089,0.000760149,0.000760149,0.000760149,3.234723,0.000017,0.000017,0.000017,0,,,,90,,,,,,,,,,,,,,,,0.0000113,0.0000042,0.0000042,0.0000042,0.00069,0.00027,0.00027,0.00027,0.00151,0.00019,0.00019,0.00019,,,,,,,,,7.0665,0.164123,0.164123,0.164123,0.669376,0.0309459,0.0309459,0.0309459,1.323,0.026,0.029,0.0275,1.209,0.044,0.038000000000000006,0.041,1.391,0.017,0.027999999999999997,0.0225,5647,44,44,44,2.97385,0.024694,0.024694,0.024694,0.34,0.04,0.04,0.04,,,,,2010
GJ 436 b,0.0287188,0.000478647,0.000478647,0.000478647,2.64385,0.00009,0.00009,0.00009,0.16,0.019,0.019,0.019,351,1.2,1.2,1.2,,,,,,,,,,,,,,,,,0.00041,0.00003,0.00003,0.00003,,,,,0.00033,0.00014,0.00014,0.00014,0.000452,0.000027,0.000027,0.000027,13.3392,0.363418,0.363418,0.363418,0.0726979,0.00318297,0.00318297,0.00318297,0.3767,0.0082,0.009199999999999998,0.0087,0.452,0.014,0.011999999999999999,0.013,0.464,0.009,0.011000000000000001,0.01,3350,300,300,300,3.10597,0.0276876,0.0276876,0.0276876,,0,0,0,80,21,18,,2004
Kepler-43 b,0.0449294,0.00102112,0.00102112,0.00102112,3.024095,0.000021,0.000021,0.000021,0,0.025,0,0.0125,90,,,,,,,,,,,,,,,,0.000017,0.0000053,0.0000053,0.0000053,,,,,,,,,,,,,,,,,6.81906,0.370157,0.370157,0.370157,3.23143,0.183829,0.183829,0.183829,1.2,0.06,0.06,0.06,1.32,0.09,0.09,0.09,1.42,0.07,0.07,0.07,6041,143,143,143,3.74763,0.0518994,0.0518994,0.0518994,0.33,0.11,0.11,0.11,,,,,2011
WASP-43 b,0.0142363,0.00040909,0.00040909,0.00040909,0.813475,0.000001,0.000001,0.000001,0,,,,90,,,,,,,,0.00103,0.00017,0.00017,0.00017,0.00194,0.00029,0.00029,0.00029,,,,,0.00346,0.00013,0.00013,0.00013,0.00382,0.00015,0.00015,0.00015,,,,,,,,,5.13072,0.357819,0.357819,0.357819,1.77609,0.10347,0.10347,0.10347,0.93,0.07,0.09,0.08,0.58,0.05,0.05,0.05,0.598,0.034,0.041999999999999996,0.038,4400,200,200,200,3.70937,0.064158,0.064158,0.064158,-0.05,0.17,0.17,0.17,,,,,2011
